time,F_Tbar,z_Tbar
3.970000,3.955875,-10.696975
3.980000,3.950757,-10.813788
3.990000,3.914934,-10.895197
4.000000,3.971227,-10.881628
4.010000,4.050184,-10.863523
4.020000,4.017285,-10.911775
4.030000,3.994622,-10.944932
4.040000,4.061882,-10.969058
4.050000,4.099897,-11.027104
4.060000,3.925900,-11.123607
4.070000,3.931749,-11.194458
4.080000,4.151804,-11.212563
4.090000,4.194207,-11.193695
4.100000,4.179585,-11.219347
4.110000,4.129872,-11.237410
4.120000,4.116712,-11.238173
4.130000,4.012168,-11.251741
4.140000,3.985118,-11.321108
4.150000,4.182509,-11.394970
4.160000,4.247576,-11.437158
4.170000,4.159846,-11.459037
4.180000,4.065536,-11.465821
4.190000,3.964648,-11.462047
4.200000,3.936136,-11.446232
4.210000,3.964648,-11.489183
4.220000,3.996084,-11.600739
4.230000,4.052377,-11.674600
4.240000,4.162039,-11.699489
4.250000,4.148880,-11.685158
4.260000,4.018016,-11.663321
4.270000,3.985849,-11.679900
4.280000,4.087469,-11.716831
4.290000,4.089663,-11.737183
4.300000,4.009974,-11.802776
4.310000,4.073578,-11.880411
4.320000,4.065536,-11.913568
4.330000,3.922976,-11.934684
4.340000,3.831591,-11.955757
4.350000,3.917127,-11.933157
4.360000,4.027521,-11.909795
4.370000,4.108670,-11.967078
4.380000,4.148880,-12.078633
4.390000,4.137183,-12.157794
4.400000,4.013630,-12.193962
4.410000,4.004126,-12.188704
4.420000,3.998277,-12.187941
4.430000,3.929556,-12.193962
4.440000,3.957337,-12.195488
4.450000,3.998277,-12.261803
4.460000,4.075772,-12.383152
4.470000,4.137183,-12.441198
4.480000,4.094780,-12.434414
4.490000,4.064806,-12.405031
4.500000,4.088931,-12.416352
4.510000,4.042873,-12.453283
4.520000,4.113057,-12.459303
4.530000,4.202249,-12.469861
4.540000,4.077965,-12.543723
4.550000,4.080889,-12.597995
4.560000,4.064806,-12.620594
4.570000,3.991698,-12.646247
4.580000,3.966110,-12.656804
4.590000,3.973421,-12.639463
4.600000,3.988042,-12.650783
4.610000,3.958068,-12.715571
4.620000,3.877649,-12.795496
4.630000,3.926631,-12.864820
4.640000,4.061150,-12.879915
4.650000,4.058957,-12.869357
4.660000,3.985849,-12.853542
4.670000,3.939060,-12.834674
4.680000,3.939791,-12.847521
4.690000,3.951488,-12.940208
4.700000,4.037755,-13.057827
4.710000,4.217601,-13.115831
4.720000,4.154728,-13.130925
4.730000,3.986580,-13.111336
4.740000,3.948564,-13.100015
4.750000,4.043604,-13.133172
4.760000,4.189820,-13.150514
4.770000,4.284130,-13.220644
4.780000,4.223450,-13.334447
4.790000,4.114519,-13.383462
4.800000,4.074310,-13.405298
4.810000,4.012899,-13.414329
4.820000,3.955144,-13.415092
4.830000,3.982193,-13.397030
4.840000,4.013630,-13.390967
4.850000,4.154728,-13.450539
4.860000,4.216139,-13.563578
4.870000,4.179585,-13.632945
4.880000,4.050184,-13.634472
4.890000,4.097704,-13.629935
4.900000,4.154728,-13.621624
4.910000,4.069192,-13.623914
4.920000,4.091125,-13.677423
4.930000,4.104284,-13.790505
4.940000,4.182509,-13.885482
4.950000,4.109402,-13.910329
4.960000,3.952219,-13.892266
4.970000,3.943446,-13.883192
4.980000,4.008512,-13.915629
4.990000,4.140838,-13.942765
5.000000,4.145956,-13.935218
5.010000,4.174468,-13.961591
5.020000,4.219064,-14.071662
5.030000,4.090394,-14.171896
5.040000,4.031907,-14.223922
5.050000,4.031176,-14.230706
5.060000,4.021672,-14.211117
5.070000,3.986580,-14.202043
5.080000,4.012899,-14.192249
5.090000,4.052377,-14.236727
5.100000,4.042142,-14.370160
5.110000,4.045797,-14.467384
5.120000,4.022403,-14.489984
5.130000,4.004126,-14.474169
5.140000,3.988042,-14.445506
5.150000,3.995353,-14.456064
5.160000,4.058226,-14.496768
5.170000,4.086738,-14.542772
5.180000,4.080158,-14.608323
5.190000,4.004126,-14.660349
5.200000,3.999739,-14.655812
5.210000,3.967572,-14.638512
5.220000,4.047260,-14.637749
5.230000,4.072847,-14.644533
5.240000,4.037024,-14.658864
5.250000,3.975614,-14.719921
5.260000,3.969034,-14.818629
5.270000,4.076503,-14.903811
5.280000,4.229299,-14.942269
5.290000,4.230761,-14.928700
5.300000,4.051646,-14.918143
5.310000,4.047260,-14.936248
5.320000,4.165695,-14.938495
5.330000,4.165695,-15.010109
5.340000,4.135720,-15.125438
5.350000,4.213215,-15.163132
5.360000,4.205904,-15.157832
5.370000,4.015092,-15.139006
5.380000,4.047991,-15.117891
5.390000,4.154728,-15.162369
5.400000,4.170812,-15.203073
5.410000,4.121830,-15.257346
5.420000,4.107939,-15.335744
5.430000,4.107939,-15.364406
5.440000,4.015823,-15.371911
5.450000,3.995353,-15.408842
5.460000,4.137183,-15.438268
5.470000,4.205904,-15.430721
5.480000,4.184703,-15.431484
5.490000,4.156191,-15.488004
5.500000,4.016554,-15.596548
5.510000,3.765794,-15.685504
5.520000,3.749710,-15.672700
5.530000,3.868145,-15.615417
5.540000,3.892271,-15.612364
5.550000,3.841095,-15.619148
5.560000,3.910548,-15.622201
5.570000,3.995353,-15.714125
5.580000,3.986580,-15.812875
5.590000,3.948564,-15.831743
5.600000,4.095511,-15.834754
5.610000,4.231492,-15.833227
5.620000,4.301676,-15.850569
5.630000,4.303869,-15.892037
5.640000,4.287785,-15.906368
5.650000,4.186896,-15.943299
5.660000,4.082352,-16.029244
5.670000,4.089663,-16.074443
5.680000,4.050184,-16.093311
5.690000,3.950757,-16.117437
5.700000,3.988773,-16.108363
5.710000,4.108670,-16.098569
5.720000,4.194938,-16.121168
5.730000,4.095511,-16.176204
5.740000,4.031176,-16.311885
5.750000,4.066268,-16.401604
5.760000,4.069923,-16.401604
5.770000,4.129141,-16.369931
5.780000,4.197862,-16.331474
5.790000,4.141569,-16.305864
5.800000,3.945640,-16.329990
5.810000,3.941984,-16.397830
5.820000,4.067730,-16.508623
5.830000,4.050915,-16.590031
5.840000,4.010705,-16.606610
5.850000,4.077234,-16.596052
5.860000,4.097704,-16.609620
5.870000,4.000471,-16.622468
5.880000,3.930287,-16.599105
5.890000,3.941984,-16.613394
5.900000,3.983656,-16.697813
5.910000,4.077965,-16.789779
5.920000,4.083083,-16.864404
5.930000,4.111595,-16.881746
5.940000,4.055302,-16.848589
5.950000,3.990967,-16.822979
5.960000,4.058957,-16.801863
5.970000,4.095511,-16.827473
5.980000,4.037024,-16.951113
5.990000,3.980000,-17.070215
6.000000,3.892271,-17.125972
6.010000,3.890809,-17.119188
6.020000,3.960992,-17.111641
6.030000,3.976345,-17.146324
6.040000,3.987311,-17.188555
6.050000,4.047991,-17.187792
6.060000,4.083083,-17.222475
6.070000,4.129872,-17.324999
6.080000,4.224912,-17.387540
6.090000,4.202249,-17.416202
6.100000,4.167157,-17.427481
6.110000,4.113788,-17.404118
6.120000,4.004857,-17.386056
6.130000,3.993891,-17.389066
6.140000,4.034832,-17.440328
6.150000,4.070654,-17.578256
6.160000,4.015823,-17.683028
6.170000,3.979269,-17.699606
6.180000,4.054571,-17.689812
6.190000,4.041411,-17.681501
6.200000,3.969765,-17.673997
6.210000,3.960992,-17.697359
6.220000,3.990236,-17.768210
6.230000,4.047991,-17.877518
6.240000,4.056764,-17.925727
6.250000,4.041411,-17.906138
6.260000,3.939060,-17.895581
6.270000,3.857910,-17.928017
6.280000,3.895195,-17.961174
6.290000,3.938329,-17.965711
6.300000,3.860834,-17.987547
6.310000,3.807466,-18.058398
6.320000,3.906161,-18.111187
6.330000,4.119637,-18.153375
6.340000,4.217601,-18.177501
6.350000,3.952950,-18.173006
6.360000,3.835978,-18.142096
6.370000,3.891540,-18.116444
6.380000,4.026058,-18.149601
6.390000,4.129141,-18.254415
6.400000,4.170081,-18.365207
6.410000,4.092587,-18.420964
6.420000,3.891540,-18.399891
6.430000,3.852061,-18.365207
6.440000,3.947833,-18.404385
6.450000,4.007782,-18.445089
6.460000,4.070654,-18.439069
6.470000,4.149611,-18.484310
6.480000,4.153266,-18.567966
6.490000,4.094049,-18.605660
6.500000,4.131334,-18.617701
6.510000,4.101360,-18.654674
6.520000,4.077965,-18.646364
6.530000,4.153997,-18.598876
6.540000,4.183972,-18.576997
6.550000,4.034100,-18.602649
6.560000,3.887153,-18.718741
6.570000,3.964648,-18.803924
6.580000,4.045797,-18.793366
6.590000,4.020941,-18.760930
6.600000,4.035563,-18.778271
6.610000,4.074310,-18.791840
6.620000,4.143762,-18.820502
6.630000,4.182509,-18.868711
6.640000,4.151804,-18.941852
6.650000,4.061150,-19.023261
6.660000,3.971227,-19.062439
6.670000,3.975614,-19.069223
6.680000,4.005588,-19.096359
6.690000,4.068461,-19.115990
6.700000,4.129141,-19.112938
6.710000,4.055302,-19.091101
6.720000,3.971227,-19.095638
6.730000,4.068461,-19.192862
6.740000,4.198593,-19.308954
6.750000,4.153997,-19.345122
6.760000,4.127678,-19.327017
6.770000,4.164233,-19.308954
6.780000,4.269508,-19.296107
6.790000,4.173006,-19.302170
6.800000,4.031907,-19.369248
6.810000,4.101360,-19.474782
6.820000,4.127678,-19.539612
6.830000,4.085276,-19.547117
6.840000,4.094049,-19.529818
6.850000,4.110864,-19.536602
6.860000,4.230761,-19.586338
6.870000,4.193476,-19.609700
6.880000,4.034100,-19.628526
6.890000,4.130603,-19.722782
6.900000,4.221257,-19.798891
6.910000,4.147418,-19.837348
6.920000,4.025327,-19.859947
6.930000,4.063344,-19.850916
6.940000,4.215408,-19.840358
6.950000,4.208828,-19.832048
6.960000,4.129141,-19.844132
6.970000,4.124023,-19.949666
6.980000,4.178123,-20.068006
6.990000,4.164964,-20.099679
7.000000,4.158384,-20.101163
7.010000,4.156922,-20.089121
7.020000,4.055302,-20.082337
7.030000,3.882035,-20.121515
7.040000,4.025327,-20.190882
7.050000,4.083814,-20.296416
7.060000,4.014361,-20.377062
7.070000,4.076503,-20.387620
7.080000,4.166426,-20.386093
7.090000,4.118906,-20.413993
7.100000,3.958799,-20.429808
7.110000,3.947833,-20.411745
7.120000,4.016554,-20.399661
