time,F_Tbar,z_Tbar
3.000000,59.531853,-4.749604
3.010000,59.515770,-4.743583
3.020000,59.527466,-4.742819
3.030000,59.522350,-4.745067
3.040000,59.536972,-4.751851
3.050000,59.557442,-4.755624
3.060000,59.572063,-4.754140
3.070000,59.585953,-4.742819
3.080000,59.531120,-4.739809
3.090000,59.481407,-4.735272
3.100000,59.455822,-4.727004
3.110000,59.520157,-4.722467
3.120000,59.564751,-4.727725
3.130000,59.544281,-4.733788
3.140000,59.566944,-4.730735
3.150000,59.645172,-4.720941
3.160000,59.680264,-4.711146
3.170000,59.621044,-4.714920
3.180000,59.571331,-4.730015
3.190000,59.549400,-4.741293
3.200000,59.583759,-4.739046
3.210000,59.595459,-4.716446
3.220000,59.569870,-4.692321
3.230000,59.530392,-4.677226
3.240000,59.583031,-4.673452
3.250000,59.622509,-4.671968
3.260000,59.597649,-4.669679
3.270000,59.511383,-4.668195
3.280000,59.522350,-4.664421
3.290000,59.580837,-4.666668
3.300000,59.565483,-4.663658
3.310000,59.558903,-4.646316
3.320000,59.545013,-4.625964
3.330000,59.599113,-4.615406
3.340000,59.618122,-4.615406
3.350000,59.597649,-4.610912
3.360000,59.500416,-4.615406
3.370000,59.462402,-4.631264
3.380000,59.540627,-4.637285
3.390000,59.607887,-4.628975
3.400000,59.557442,-4.625243
3.410000,59.529659,-4.624480
3.420000,59.568409,-4.620706
3.430000,59.628357,-4.616170
3.440000,59.633472,-4.622190
3.450000,59.528198,-4.641059
3.460000,59.504803,-4.658400
3.470000,59.569138,-4.657637
3.480000,59.584492,-4.641822
3.490000,59.545742,-4.624480
3.500000,59.560364,-4.610149
3.510000,59.606422,-4.603365
3.520000,59.580837,-4.591323
3.530000,59.560364,-4.584539
3.540000,59.546474,-4.601838
3.550000,59.527466,-4.612396
3.560000,59.556709,-4.604891
3.570000,59.600574,-4.597344
3.580000,59.624699,-4.602601
3.590000,59.545742,-4.597344
3.600000,59.519424,-4.599591
3.610000,59.605694,-4.589797
3.620000,59.702194,-4.574702
3.630000,59.646633,-4.576228
3.640000,59.543552,-4.597344
3.650000,59.510651,-4.622190
3.660000,59.552322,-4.639532
3.670000,59.535507,-4.638811
3.680000,59.519424,-4.641822
3.690000,59.553055,-4.642543
3.700000,59.618851,-4.644832
3.710000,59.596920,-4.679516
3.720000,59.596920,-4.719457
3.730000,59.630550,-4.728488
3.740000,59.641514,-4.738283
3.750000,59.615929,-4.746593
3.760000,59.580837,-4.751851
3.770000,59.588146,-4.747356
3.780000,59.583031,-4.746593
3.790000,59.597649,-4.748840
3.800000,59.653942,-4.752614
3.810000,59.677338,-4.751088
3.820000,59.634205,-4.747356
3.830000,59.571331,-4.745830
3.840000,59.582298,-4.736799
3.850000,59.627625,-4.708899
3.860000,59.650288,-4.708136
3.870000,59.632744,-4.721704
3.880000,59.584492,-4.723231
3.890000,59.572792,-4.714920
3.900000,59.603500,-4.706652
3.910000,59.555981,-4.710383
3.920000,59.561829,-4.710383
3.930000,59.564022,-4.701352
3.940000,59.640053,-4.700589
3.950000,59.618122,-4.705126
3.960000,59.564751,-4.710383
3.970000,59.515770,-4.708899
3.980000,59.530392,-4.705889
3.990000,59.554516,-4.704362
4.000000,59.542088,-4.695331
4.010000,59.552322,-4.677989
4.020000,59.550129,-4.697578
4.030000,59.549400,-4.714920
4.040000,59.619583,-4.714157
4.050000,59.602768,-4.716446
4.060000,59.555981,-4.715683
4.070000,59.547207,-4.704362
4.080000,59.605694,-4.690794
4.090000,59.592533,-4.687021
4.100000,59.538433,-4.686300
4.110000,59.536240,-4.689310
4.120000,59.601307,-4.696094
4.130000,59.626163,-4.708899
4.140000,59.635666,-4.715683
4.150000,59.617390,-4.715683
4.160000,59.625431,-4.712673
4.170000,59.618851,-4.710383
4.180000,59.634937,-4.713436
4.190000,59.588879,-4.706652
4.200000,59.532585,-4.688547
4.210000,59.581566,-4.668195
4.220000,59.646633,-4.655390
4.230000,59.617390,-4.646316
4.240000,59.526737,-4.644832
4.250000,59.506264,-4.651616
4.260000,59.607155,-4.661411
4.270000,59.639320,-4.663658
4.280000,59.598381,-4.662895
4.290000,59.566944,-4.659164
4.300000,59.564022,-4.661411
4.310000,59.596920,-4.666668
4.320000,59.616657,-4.662174
4.330000,59.571331,-4.654627
4.340000,59.477753,-4.651616
4.350000,59.504803,-4.656111
4.360000,59.554516,-4.653100
4.370000,59.575718,-4.638811
4.380000,59.566944,-4.632748
4.390000,59.548668,-4.629738
4.400000,59.608616,-4.629738
4.410000,59.605694,-4.624480
4.420000,59.542820,-4.622954
4.430000,59.524544,-4.625964
4.440000,59.560364,-4.626727
4.450000,59.550861,-4.622954
4.460000,59.569870,-4.617696
4.470000,59.572063,-4.624480
4.480000,59.534779,-4.636522
